State,District,Sub District,% Rural Population,% Rural Households,OFC Density
MADHYA PRADESH,Sagar,Sagar,49.91780222717691,52.4283566719144,0.0014
ANDHRA PRADESH,Chittoor,Punganur,50.09571384295637,50.784472456728736,2.272
BIHAR,Rohtas,Dehri,50.100358527202246,48.48451253852464,0.4106
MAHARASHTRA,Dhule,Dhule,50.28828710945632,50.99340142818404,0.2361
BIHAR,Begusarai,Teghra,50.38079386694911,52.47952911970209,0.2662
RAJASTHAN,Alwar,Alwar,50.454638448773615,46.71964908970852,0.401
PUNJAB,Kapurthala,Phagwara,50.57020540330763,50.04128026419369,0.1975
PUNJAB,Sahibzada Ajit Singh Nagar,Kharar,50.70580993016196,47.35444145966014,0.2939
ANDHRA PRADESH,Visakhapatnam,Anakapalle,51.04232976885261,50.85782058360427,0.7277
GUJARAT,Amreli,Amreli,51.10763887449799,51.601357222659,0.3554
UTTARAKHAND,Hardwar,Hardwar,51.21954185662231,47.23391005117805,0.4074
ODISHA,Cuttack,Choudwar,51.22545874502759,50.06708680626144,0.4204
KERALA,Malappuram,Tirur,51.27300058578271,50.187667874778604,0.4459
ANDHRA PRADESH,Guntur,Ponnur,51.454823889739664,52.94632183572907,0.0082
WEST BENGAL,North Twenty Four Parganas,Barrackpur - I,51.56170526949055,50.72599211324109,0.0226
BIHAR,Begusarai,Begusarai,51.59636228285084,52.69967895709699,1.6662
BIHAR,Saran,Chapra,51.71821732834205,51.94441638648794,1.3003
JHARKHAND,Pashchimi Singhbhum,Noamundi,51.91074091394386,51.01715532066608,0.2495
KARNATAKA,Kolar,Bangarapet,51.97070878383153,51.48408582519986,0.2906
KERALA,Palakkad,Palakkad,52.046180789262166,51.83663588892347,0.606
PUNJAB,Bathinda,Bathinda,52.54350293547252,50.2257896024384,0.4929
ANDHRA PRADESH,Srikakulam,Amadalavalasa,52.67263624796357,54.68445311115051,3.2007
RAJASTHAN,Kota,Ramganj Mandi,52.72345548508339,52.4728197176496,0.0011
JHARKHAND,Ramgarh,Mandu,52.86169338265516,51.33537832310838,0.4
GUJARAT,Gandhinagar,Kalol,52.94459560774667,52.45914867863627,0.6263
GUJARAT,Gandhinagar,Kalol,52.94459560774667,52.45914867863627,0.6541
MADHYA PRADESH,Damoh,Damoh,52.95963239977637,56.69807764794572,0.4893
PUNJAB,Gurdaspur,Pathankot,52.96363180658471,52.43991142289104,0.6382
ANDHRA PRADESH,Vizianagaram,Salur,53.03115125867026,52.58176544670457,0.0032
MAHARASHTRA,Chandrapur,Bhadravati,53.10769695938923,54.83569051580699,0.5104
ANDHRA PRADESH,Krishna,Pedana,53.20986338090379,54.19750475787693,0.5504
ODISHA,Koraput,Jeypore,53.36602421030642,53.21057933328648,0.4752
KERALA,Thiruvananthapuram,Neyyattinkara,53.617197095073024,53.800730083744895,0.2823
GUJARAT,Valsad,Valsad,53.64021775786482,53.63604379670992,0.1463
JHARKHAND,Purbi Singhbhum,Musabani,53.68308991072429,53.7144128113879,0.7114
MAHARASHTRA,Raigarh,Khalapur,53.74426406509081,52.23559759243336,0.379
HARYANA,Sonipat,Sonipat,53.95524815434894,52.10135120464925,0.8505
PUNJAB,Fatehgarh Sahib,Amloh,53.96528476745732,51.33311542771759,0.6016
HARYANA,Karnal,Karnal,54.01272244683115,51.899143365120416,0.6069
KARNATAKA,Bidar,Bidar,54.03252748749311,53.05589198403086,0.1726
KERALA,Thrissur,Mukundapuram,54.30792565942916,54.4213291779696,0.2106
JHARKHAND,Lohardaga,Lohardaga,54.43896864509677,54.20155934161132,0.9203
GUJARAT,Bhavnagar,Botad,54.52937359133062,52.87410038321339,0.139
MAHARASHTRA,Wardha,Hinganghat,54.554788252677255,56.12101445200472,0.2305
ANDHRA PRADESH,Guntur,Repalle,54.579467626284725,58.16860845660427,0.0498
KARNATAKA,Bijapur,Bijapur,54.59182470616788,52.55870175743362,0.0133
UTTAR PRADESH,Etawah,Etawah,54.63975424256368,54.70990492518703,0.3713
GUJARAT,Porbandar,Ranavav,54.70812094127505,55.20388030253206,0.2355
ANDHRA PRADESH,Krishna,Nuzvid,54.775265721365,57.62516668687113,0.3427
BIHAR,Lakhisarai,Lakhisarai,54.80051538235493,53.23426335950448,0.8449
MAHARASHTRA,Bhandara,Bhandara,54.81948362675427,55.545010424121735,0.7712
ANDHRA PRADESH,Srikakulam,Rajam,55.12819149501802,53.73941173966713,0.3918
KARNATAKA,Hassan,Hassan,55.19958805147337,55.01678705870384,0.5133
JHARKHAND,Pashchimi Singhbhum,Chaibasa,55.3938982007515,55.32924016502615,0.4167
KARNATAKA,Shimoga,Bhadravati,55.53809666731402,53.61811566930121,0.2639
UTTAR PRADESH,Gorakhpur,Gorakhpur,55.64682178516173,54.39294649403264,0.0181
ANDHRA PRADESH,Anantapur,Uravakonda,55.655166394433984,56.60717209759293,0.2185
JHARKHAND,Giridih,Giridih,55.89822046863676,55.633336486614326,0.7431
RAJASTHAN,Ajmer,Beawar,55.92400892297375,57.8696227760078,0.2058
