Sub-dist Name,OFC Length,Area,Density
Beawar,141.4376,687.4061863534264,0.20575549479748292
Masuda,157.7521,874.7891425205913,0.18033157058334975
Nasirabad,147.5001,775.2947771853605,0.19025034650108974
Bhinay,4.1253,820.5458890333342,0.00502750675511874
Sarwar,135.2789,1051.344191108273,0.12867232362543035
Kekri,126.8122,1006.0619645833468,0.12604810087668739
Malpura,247.6596,1490.3208045054396,0.16617871752933452
Peeplu,182.5978,692.398110297259,0.2637179352231442
Niwai,234.043,980.1556530351804,0.23878146218435325
Tonk,435.9725,813.8556304990658,0.5356877604110899
Todaraisingh,283.3535,999.750260231458,0.28342428231466443
Deoli,372.6228,1225.8921509069717,0.30396050723084933
Uniara,245.9328,991.617823999652,0.24801167753120812
Hindoli,92.2788,1355.7595725758458,0.06806428061922286
Nainwa,182.7605,1192.0174345780297,0.1533203246013735
Indragarh,123.9419,644.1306142451346,0.19241734092277107
Keshoraipatan,103.344,697.645527158261,0.1481325343272163
Bundi,321.5408,1886.434418978583,0.17044896804528167
Asind,55.3854,1131.1055969267504,0.04896572004460404
Shahpura,20.0979,530.4205120793875,0.03789050299207125
Shahpura,20.0979,1128.420535155592,0.01781064716021745
Mandal,34.837,1218.8210704625528,0.028582538359612598
Raipur,18.4973,1100.9209662206936,0.016801660216807953
Raipur,18.4973,508.4408088984616,0.03638043932798087
Sahara,121.887,659.3433538443471,0.1848611945344249
Bhilwara,102.2885,969.0481235416116,0.10555564529258145
Kotri,146.236,932.203685183706,0.15687129575247472
Jahazpur,6.5469,1076.564631760475,0.006081288393520827
Mandalgarh,21.0187,929.3527508706997,0.022616493016572908
Bhim,184.7013,672.4039889077538,0.2746879897307375
Deogarh,203.903,597.8085996384259,0.341084086316803
Amet,228.1943,530.8138898363443,0.4298951183631513
Kumbhalgarh,205.9788,884.1566187971677,0.23296641751120922
Rajsamand,389.6549,619.2096874918687,0.6292777840384107
Railmagra,123.3855,564.9176263179908,0.21841325929976665
Nathdwara,251.9282,785.6927959326224,0.32064466074295567
Dungarpur,37.9478,1318.5610431232017,0.028779706633919027
Sagwara,26.9337,877.7237546920827,0.03068585059481352
Ghatol,67.1352,771.042540085514,0.08707068223830326
Garhi,115.1285,728.4389235566942,0.1580482539810897
Banswara,329.0891,1134.868398606943,0.28997996631500056
Bagidora,461.9066,863.0722295964014,0.5351888105773042
Kushalgarh,218.8239,1024.586014061905,0.2135729914294719
Rashmi,124.6435,446.9462764231948,0.2788780365226273
Gangrar,177.9202,554.3459493813348,0.3209551728457001
Begun,126.5623,912.0893923244466,0.1387608507072512
Chittaurgarh,496.6847,983.0021754241944,0.5052732459983275
Kapasan,198.8982,914.0986051068844,0.21758943607264677
Dungla,151.8417,496.4619790666728,0.3058475903541614
Bhadesar,163.9889,532.7520903535891,0.30781465332432595
Nimbahera,200.025,831.1098317786708,0.2406721619114088
Bari Sadri,135.373,508.5586828289783,0.26618953637160525
Digod,0.9231,938.2199307988518,0.0009838844493678814
Ramganj Mandi,0.8826,782.3155619279828,0.0011281892409565144
Sangod,46.5315,1068.532993651659,0.0435470877141387
Mangrol,32.1021,440.3092103543262,0.0729080819685029
Antah,150.4121,543.4536972400691,0.27677077323030136
Baran,304.9652,626.865923978348,0.4864919089309655
Atru,175.6488,833.6957925983673,0.21068692148794224
Kishanganj,471.863,1425.892437150517,0.3309246810670826
Shahbad,156.1822,1471.369211723376,0.1061475248738336
Chhabra,127.6741,800.0458919251747,0.15958347050914035
Chhipabarod,107.4336,850.3699164868149,0.1263374890351801
Khanpur,257.6048,919.087615052366,0.28028318060332336
Jhalrapatan,423.5638,1266.9511276819553,0.3343173945272559
Aklera,166.2788,780.3033245821287,0.21309508079956768
Manohar Thana,75.3074,624.2793831824757,0.12063092587824222
Pachpahar,174.6296,688.0252877137887,0.2538127640341093
Pirawa,254.8519,1028.5338960119527,0.24778172210771587
Gangdhar,130.9469,911.834720489754,0.14360815294428286
Mavli,227.5063,841.815776862703,0.2702566360158696
Gogunda,206.4281,1012.5036458696628,0.20387887079921982
Kotra,257.0658,1737.8017676595164,0.1479258479212034
